rank,gene_id,tcga_train_n,tcga_train_events,tcga_cox_z,tcga_cox_p,meta_cox_z,meta_cox_p,direction
4886,ENSG00000040341.18,91,50,1.462569267719078,0.14358527766896934,1.462569267719078,0.14358527766897344,higher_expr_higher_risk
4887,ENSG00000132388.12,91,50,-1.4625123409262244,0.14360086505425837,-1.4625123409262244,0.14360086505426253,higher_expr_lower_risk
4888,ENSG00000181192.12,91,50,-1.462461255653044,0.14361485405122273,-1.462461255653044,0.14361485405122684,higher_expr_lower_risk
4889,ENSG00000127511.10,91,50,-1.4624166897672541,0.14362705865753123,-1.4624166897672541,0.14362705865753528,higher_expr_lower_risk
4890,ENSG00000166716.10,91,50,-1.4622841914372484,0.14366334873239794,-1.4622841914372484,0.14366334873240214,higher_expr_lower_risk
4891,ENSG00000189283.10,91,50,-1.462025907873107,0.14373411044154144,-1.462025907873107,0.14373411044154555,higher_expr_lower_risk
4892,ENSG00000203880.12,91,50,-1.4618808015669984,0.14377387680684178,-1.4618808015669984,0.14377387680684597,higher_expr_lower_risk
4893,ENSG00000100211.10,91,50,1.461855710437054,0.1437807538834046,1.461855710437054,0.14378075388340877,higher_expr_higher_risk
4894,ENSG00000118960.13,91,50,-1.461633810039881,0.1438415842063594,-1.461633810039881,0.14384158420636356,higher_expr_lower_risk
4895,ENSG00000162994.16,91,50,-1.4616329642459394,0.14384181610452398,-1.4616329642459394,0.1438418161045283,higher_expr_lower_risk
4896,ENSG00000181001.3,91,50,-1.461511689642963,0.14387506991079912,-1.461511689642963,0.1438750699108033,higher_expr_lower_risk
