rank,gene_id,is_literature_curated
811,ENSG00000153446.16,False
812,ENSG00000142273.13,False
813,ENSG00000100060.18,False
814,ENSG00000168026.18,False
815,ENSG00000165943.5,False
816,ENSG00000053702.15,False
817,ENSG00000232196.4,False
818,ENSG00000121577.14,False
819,ENSG00000196363.9,False
820,ENSG00000129245.12,False
821,ENSG00000007545.16,False
822,ENSG00000066248.15,False
823,ENSG00000137947.12,False
824,ENSG00000112584.14,False
825,ENSG00000158092.7,False
826,ENSG00000042493.16,False
827,ENSG00000178826.11,False
828,ENSG00000115998.8,False
829,ENSG00000285231.1,False
830,ENSG00000285329.1,False
831,ENSG00000127578.7,False
832,ENSG00000232030.3,False
833,ENSG00000142230.13,False
834,ENSG00000176678.6,False
835,ENSG00000157617.17,False
836,ENSG00000276430.3,False
837,ENSG00000057019.16,False
838,ENSG00000176248.9,False
839,ENSG00000161714.12,False
840,ENSG00000181092.10,False
841,ENSG00000129187.14,False
842,ENSG00000109063.15,False
843,ENSG00000162852.14,False
844,ENSG00000131269.19,False
845,ENSG00000118363.12,False
846,ENSG00000285010.1,False
847,ENSG00000254536.2,False
848,ENSG00000185745.10,False
849,ENSG00000172671.20,False
850,ENSG00000168477.19,False
851,ENSG00000164120.14,False
852,ENSG00000132963.8,False
853,ENSG00000197345.13,False
854,ENSG00000073417.15,False
855,ENSG00000124818.15,False
856,ENSG00000197238.5,False
857,ENSG00000124635.9,False
858,ENSG00000013588.9,False
859,ENSG00000169469.9,False
860,ENSG00000182901.17,False
861,ENSG00000159433.12,False
862,ENSG00000241973.11,False
863,ENSG00000160584.16,False
864,ENSG00000165819.12,False
865,ENSG00000172954.14,False
866,ENSG00000214290.8,False
867,ENSG00000275023.5,False
868,ENSG00000204421.3,False
869,ENSG00000179456.10,False
870,ENSG00000285077.2,False
871,ENSG00000139725.8,False
872,ENSG00000164080.13,False
873,ENSG00000129559.13,False
874,ENSG00000134470.21,False
875,ENSG00000004139.14,False
876,ENSG00000147689.16,False
877,ENSG00000158717.11,False
878,ENSG00000126953.8,False
879,ENSG00000155085.15,False
880,ENSG00000090776.6,False
881,ENSG00000075240.17,False
882,ENSG00000100276.10,False
883,ENSG00000117228.10,False
884,ENSG00000157693.15,False
885,ENSG00000163283.7,False
886,ENSG00000115977.20,False
887,ENSG00000189064.8,False
888,ENSG00000128710.6,False
889,ENSG00000100628.12,False
890,ENSG00000173674.11,False
891,ENSG00000187607.16,False
892,ENSG00000152672.8,False
893,ENSG00000143355.16,False
894,ENSG00000237440.9,False
895,ENSG00000116863.11,False
896,ENSG00000163964.17,False
897,ENSG00000189057.11,False
898,ENSG00000103642.12,False
899,ENSG00000177409.12,False
900,ENSG00000125815.9,False
901,ENSG00000040199.18,False
902,ENSG00000109534.17,False
903,ENSG00000105662.16,False
904,ENSG00000010810.17,False
905,ENSG00000180104.16,False
906,ENSG00000167098.12,False
907,ENSG00000141404.17,False
908,ENSG00000171403.10,False
909,ENSG00000054938.16,False
910,ENSG00000196262.15,False
911,ENSG00000101311.16,False
912,ENSG00000140691.18,False
913,ENSG00000165275.10,False
914,ENSG00000183020.14,False
915,ENSG00000143013.13,False
916,ENSG00000196639.7,False
917,ENSG00000171396.12,False
918,ENSG00000166451.13,False
919,ENSG00000137959.16,False
920,ENSG00000139726.11,False
